Metric,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024
Sales +,"6,152","6,760","7,344","7,626","7,342","7,481","6,868"
Expenses +,"5,277","5,397","6,229","5,878","5,757","5,932","5,746"
Operating Profit,875,"1,363","1,116","1,748","1,585","1,549","1,122"
OPM %,14%,20%,15%,23%,22%,21%,16%
Other Income +,153,35,117,125,172,197,-18
Interest,18,14,24,25,28,31,39
Depreciation,180,181,189,194,179,194,207
Profit before tax,830,"1,203","1,020","1,654","1,551","1,522",858
Tax %,25%,25%,25%,25%,25%,21%,30%
Net Profit +,619,900,763,"1,234","1,160","1,209",602
EPS in Rs,6.45,9.38,7.96,12.86,12.10,12.61,6.28
Raw PDF,,,,,,,
