Company,Date,quarterly_comparison
ADANIENT_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
ADANIENT_quarterly_results,2021-12-01 00:00:00,Depreciation increased by 3.3%. EPS decreased by 114.2%. Interest increased by 26.1%. Profit Before Tax decreased by 112.4%.
ADANIENT_quarterly_results,2022-06-01 00:00:00,Depreciation increased by 3.2%. EPS decreased by 11.8 times. Interest increased by 4.1%. Profit Before Tax decreased by 12.0 times.
ADANIENT_quarterly_results,2022-12-01 00:00:00,Depreciation remained virtually unchanged. EPS decreased by 39.1%. Interest increased by 39.1%. Profit Before Tax decreased by 37.9%.
ADANIENT_quarterly_results,2023-06-01 00:00:00,Depreciation increased by 6.2%. EPS increased by 2.2 times. Interest decreased by 44.3%. Profit Before Tax increased by 2.1 times.
ADANIENT_quarterly_results,2023-12-01 00:00:00,Depreciation increased by 5.9%. EPS increased by 22.3%. Interest increased by 43.6%. Profit Before Tax increased by 22.2%.
ADANIENT_quarterly_results,2024-06-01 00:00:00,Depreciation increased by 5.6%. EPS decreased by 16.2%. Interest increased by 3.0%. Profit Before Tax decreased by 15.1%.
ADANIPORTS_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
ADANIPORTS_quarterly_results,2021-12-01 00:00:00,Depreciation decreased by 1.3%. EPS increased by 2.6 times. Interest increased by 23.8%. Profit Before Tax increased by 2.3 times.
ADANIPORTS_quarterly_results,2022-06-01 00:00:00,Depreciation remained virtually unchanged. EPS decreased by 176.8%. Interest decreased by 1.1%. Profit Before Tax decreased by 189.8%.
ADANIPORTS_quarterly_results,2022-12-01 00:00:00,Depreciation decreased by 1.3%. EPS decreased by 102.7%. Interest decreased by 0.5%. Profit Before Tax decreased by 103.9%.
ADANIPORTS_quarterly_results,2023-06-01 00:00:00,Depreciation increased by 5.3%. EPS increased by 36.4 times. Interest increased by 5.1%. Profit Before Tax increased by 25.3 times.
ADANIPORTS_quarterly_results,2023-12-01 00:00:00,Depreciation increased by 5.0%. EPS increased by 33.5%. Interest increased by 16.3%. Profit Before Tax increased by 38.9%.
ADANIPORTS_quarterly_results,2024-06-01 00:00:00,Depreciation decreased by 2.4%. EPS increased by 47.7%. Interest decreased by 16.4%. Profit Before Tax increased by 34.8%.
ASIANPAINT_quarterly_results,2021-06-01 00:00:00,No previous quarter data available
